六四|Sixty-four
六四的死难者|June Fourth victims
摧毁独裁政权|Destroying dictatorships
去广场上站一会|Square Station on the go for a while
广场的日与夜|Day and Night Plaza
学生精华游|Student Highlights Tour
六四二十二周年|Tiananmen 22 Years Anniversary
六四艺术纪念馆|Sixty-four Art Museum
六四传薪火|Sixty-four pass Passing
自由花手语舞|Freedom took sign language dance
我要回家运动|I want to go home sports
六四论坛|Sixty-four Forum
六四烛光悼念|Sixty-four candlelight vigil
六四纪念馆|June 4th Museum
6泗大学生|6 Si Students
6泗事件|6 Si event
门安天|On day door
八的平方那事|Eight of those square things
90年前一年|90 year ago
90年的前一年|90 years of the previous year
挡坦克的|Block tanks
1989xx的纪录片|1989xx documentary
64添安门|64 Tim Yasukado
青年拦坦克|Young stopped tanks
19881年6月31号|19881 on June 31
拦坦克的|Elam tanks
邓屠夫|Deng Butcher
食绝场广门安天|Fresh absolutely safe door wide field day
89年的那次|89 years that
89年那次|That 89 years
8964发生的事|8964 things happen
中国政治的禁片|Chinese politics ban films
八九天安门运动|Eighty-nine Tiananmen movement
20年前的这个时候|This time 20 years ago
tam爆乱|tam explosive disorder
89北京风波|89 Beijing storm
一九八九年六四|4 June 1989
8的平方|8 square
八9学潮|Eight nine student movement
天安门残摩|Tiananmen residual friction
天安门录影带|Tiananmen video
天安门一代|Tiananmen generation
丁子霖的名单|Ding Zilin list
民运纪念|MDC Memorial
诉江案令人鼓舞|Encouraging lawsuit against Jiang
掩盖中共镇压|Hide Communist repression
中共党魁版|Communist leader Edition
赵紫阳反思|Zhao reflection
64年屠城|64 years massacre
看中共与良心|Chinese Communist Party and Conscience
江被软禁|Jiang was placed under house arrest
赵紫阳软禁|Zhao's house arrest
木樨地枪声|Sweetclover gunfire
一九八九风波|One thousand nine hundred eighty-nine storm
一九八九事件|One thousand nine hundred eighty-nine event
天安门镇压|Tiananmen crackdown
解放军清场|PLA clearance
激流中国纪录片|Dynamic China Documentary
tiananmen学生定性|Qualitative student tiananmen
tiananmen母亲|tiananmen mother
tiananmen屠杀|tiananmen massacre
天安门访民|Tiananmen Petitioners
天安门民运|Tiananmen Square pro-democracy movement
天安门三君子|Tiananmen three gentlemen
天安门撒传单|Tiananmen leaflets
天安门情人|Tiananmen lover
天安门坦克|Tiananmen Tank
天安们事件|Tiananmen incident
天安们母亲|Tiananmen mothers
丁子霖母亲|Ding Zilin mother
大陆国家党|Continental National Party
天按门1989|Day by the door 1989
天a门事件|Days of a scandal
89六四|June 4, 1989
赵z阳集团|Zhao Z Yang Group
爱国民主大游行|Patriotic and democratic Parade
丁子霖名单|Ding Zilin list
柳丝真相|Stir the truth
屠城责任|Responsibility for the massacre
六四公投|Sixty-four referendum
八八相乘运动|Eighty-eight multiplied sports
五三五事件|Five hundred thirty-five event
六四戴晴|Sixty-four DAI
64薪火|64 Passing
64烛光|64 Candlelight
六四杀戮|Sixty-four killings
八9运动|Eight nine sports
liusi屠杀|liusi massacre
liu四屠杀|liu four massacre
六si屠杀|Six si massacre
陆肆屠杀|Lusi massacre
陆四屠杀|Lu four massacre
六肆屠杀|Six wantonly slaughter
liu肆屠杀|liu wantonly slaughter
陆si屠杀|Lu si massacre
8jiu学潮|8jiu student protests
ba9学潮|ba9 student protests
8jiuxuechao|
8jiuxue潮|8jiuxue tide
8jiu学chao|8jiu school chao
ba九学潮|ba nine student movement
bajiuxuechao|
ba九学chao|ba nine school chao
ba九xue潮|ba nine xue tide
bajiufengbo|
bajiu风波|bajiu storm
liusi风波|liusi storm
陆si风波|Lu si storm
liu肆风波|liu store storm
陆肆风bo|Lusi wind bo
陆肆feng波|Lusi feng wave
liu肆fengbo|liu store fengbo
liusifeng波|liusifeng wave
bajiushijian|
89shijian|
八九shi件|Eighty-nine shi pieces
八九事jian|Eighty-nine thing jian
8jiushijian|
89事jian|89 things jian
8九shi件|8 pieces of nine shi
8九事件|8 nine events
八9事件|Eight 9 events
8九风波|8 nine storm
八久风波|Eight long storm
捌玖风波|Jiu Ba storm
捌jiu风波|Ba jiu storm
ba玖风波|Nine ba storm
ba久风波|ba long storm
ba久fengbo|ba long fengbo
捌九风波|Ba nine storm
捌久风波|Ba long storm
八jiu风波|Eight jiu storm
ba玖fengbo|Nine fengbo ba
tiananmen风波|tiananmen storm
tian安门风波|tian Tiananmen crisis
天安men风波|Tian men storm
天安门风bo|Tiananmen wind bo
89fengbo|
8jiufengbo|
ba9风波|ba9 storm
8jiu风波|8jiu storm
8玖风波|8 Nine storm
捌9风波|Ba 9 storm
8久风波|8 long storm
8酒风波|8 wine storm
ba酒风波|ba wine storm
ba酒fengbo|ba wine fengbo
tian安门屠杀|tian Tiananmen Square massacre
天安men屠杀|Tian men massacre
陆si惨案|Lu si massacre
liu肆惨案|liu wantonly massacre
六四canan|Sixty-four canan
liusi惨案|liusi massacre
捌玖惨案|Jiu Ba massacre
捌久惨案|Ba long massacre
捌九惨案|Ba nine tragedy
八久惨案|Eight long massacre
八酒惨案|Eight liquor tragedy
八玖惨案|Eight Nine massacre
捌酒惨案|Ba liquor tragedy
6四惨案|6 four tragedy
六4惨案|Six 4 massacre
六si惨案|Six si massacre
liu四惨案|liu four tragedy
6si惨案|6si massacre
liu4惨案|liu4 massacre
64canan|
六4canan|Six 4canan
6sicanan|
天安men惨案|Tian men massacre
天安门血案|Tiananmen massacre
tiananmen血案|tiananmen massacre
天安men血案|Tian men massacre
1989fengbo|
tiananmen自焚|tiananmen self-immolation
八九年学生运动|2089 student movement
捌玖年学生运动|Jiu Ba student movement
tiananmenfengbo|
捌玖学运|Jiu Ba student movement
bajiu学运|bajiu student movement
bajiu年学生运动|bajiu year student movement
liusi枪杀|liusi shot
陆肆枪杀|Lusi shot
liu肆枪杀|liu wantonly shot
陆si枪杀|Lu si shot
八九枪杀|Eighty-nine shot
捌玖枪杀|Jiu Ba shot
八久枪杀|Eight long shot
八酒枪杀|Eight wine shot
八玖枪杀|Nine killed eight
捌九枪杀|Ba nine shot
捌久枪杀|Ba a long shot
捌酒枪杀|Ba wine shot
bajiu枪杀|bajiu shot
liusi屠城|liusi massacre
平反六四事件|Vindication event
平反陆肆事件|Lusi events vindicated
坦克事件|Tank Event
tu杀学生|tu kill students
屠sha学生|Tu sha students
捌玖动乱|Jiu Ba unrest
八酒动乱|Eight wine unrest
八久动乱|Eight long unrest
捌九动乱|Ba nine unrest
捌久动乱|Ba long unrest
捌酒动乱|Ba wine unrest
bajiu动乱|bajiu unrest
八玖动乱|Nine eight unrest
长安街的贝塔|Chang'an Avenue beta
21周年六四|21 anniversary sixty-four
21周年6月4日|21 Anniversary of June 4
二十周年风波|The twentieth anniversary of the storm
64烛光晚会|64 candlelight vigil
为六四正名|June 4 to name
六四遭坦克车压|Sixty-four was pressure tanks
89年的大学生游行|Students march 1989
大爆政局内幕|Revealing political insider
426社论发表二十年|426 editorial published two years
89为什么被屏蔽|89 Why is shielded
25年前的乱局|25 years ago, chaos
25年前天安门|Tiananmen Square 25 years ago
25年前6月4日|25 years ago, June 4
6四25周年|6 four 25th anniversary
25周年大游行|25th Anniversary Parade
64事件25周年|64 25th Anniversary Event
6425周年|6425 anniversary
25年萧瀚|25 years Xiaohan
25年学生潮|25 years student influx
25年学潮|25 years of student protests
25年广场事件|Square incident 25 years
25年六四|25 June 4
25年春夏之交|25 years of spring and summer
25周年张万舒|Zhang Wan Shu 25th anniversary
25周年89年事件|25th anniversary of the 1989 events
25周年游行|25th anniversary parade
25周年6月4日|25th anniversary of the June 4
25周年六四|25th Anniversary sixty-four
六四25周年|Sixty-four 25th anniversary
坦克进城25年|Tanks into the city for 25 years
25周年网络大会|25th anniversary of the Network Conference
6425周年游行|6425 anniversary parade
25年前的6月4号|June 4 25 years ago
25年薪火|25 salary fire
25年前广场的真相|Square 25 years ago the truth
民运25周年|25th anniversary of the pro-democracy movement
25年钱的政治风波|25 years of political turmoil money
8964大屠杀25周年|25th anniversary of the 8964 massacre
门屠杀25周年|25th anniversary of the massacre door
是非恩仇二十年|Two years of non-hatred
胡耀邦下台前后|Hu Yaobang before stepping down
政坛秘闻录|Confidential political record
是非恩仇20年|20-year non-hatred
开坦克血腥镇压|Open tanks bloody crackdown
1989nian6yue4ri|
420事件|420 events
自由中国论坛|Free China Forum
b1oodisonthesquare|
力捧下台|Touted step down
李鵬下台|Li Peng to step down
清洗天安门|Cleaning Tiananmen
反对cpc|Opposition CPC
democraci运动|democraci sports
19eighty-nine|
三小时纪录片|Three hours documentary
天安门卡玛|Tiananmen Karma
卡玛天安门|Kama Tiananmen
禁片下载|Ban movie download
禁片资源|Ban chip resources
禁片的下载|Forbidden films downloads
禁片的资源|Resources forbidden films
天安门纪录片|Tiananmen documentaries
89为什么被禁|89 Why is banned
89为什么被屏|89 Why is the screen
民运1989|MDC 1989
1989北京死|1989 Beijing dead
1989年6月的事|June 1989 things
q261178774|
party不民主|PARTY undemocratic
party封锁|PARTY blockade
天安门静坐|Tiananmen Square sit-in
426社论|426 editorial
广场上de热血|Blood on the Plaza de
宫馋党|Palace greedy party
广场上绝食|Hunger strike on the square
广场上静坐|Square sit-in on
广场洒热血|Square shed blood
广场鲜血|Square blood
1989中美交恶|1989 Sino-US hostility
gcd垮台|GCD collapse
gcd下台|GCD step down
gcd腐败|GCD corruption
tank和枪炮|tank and guns
天安门前的血案|Tiananmen massacre
拦土旦克|Lantudanke
坦克开进北京|Tanks rolled into Beijing
64天安门|64 Tiananmen
89动1乱|89 move a mess
1989年6月北京|June 1989 Beijing
gcd统治|GCD rule
一人站一坦克前|A man got a tank ago
捌玖年中国|Jiu Ba, China
学生民主运动|Student democracy movement
八jiu雪嘲|Eight jiu snow ridicule
ba九雪嘲|BA nine snow ridicule
64内幕|64 Insider
大学生动乱事件|Students unrest
64动摇了党|64 shake the party
学生静坐于广场|Student sit-in square
6月北京动荡|June Beijing unrest
六死事件|Six dead Event
gcd越来越腐败|GCD growing corruption
1989美中交恶|1989-US hostility
890604|
gcd倒台|GCD downfall
淫三国|Three kinky
sm影片|sm movie
sixfour屠杀|sixfour massacre
sixfour以后的中国|sixfour after China
sixfour的影响深远|The far-reaching influence sixfour
sixfour二十年历史事件|sixfour two decades of historical events
为六四开枪辩护|Defense shot June 4
血洗北京|Bloodbath Beijing
江泽民入承大宝|Jiang Cheng Tai Po into
六四北京学运|Sixty-four student movement in Beijing
六四北京开枪|Sixty-four Beijing shot
八九六四民运|Eight thousand nine hundred sixty-four pro
八九六四学运|Eight thousand nine hundred sixty-four student movement
八九六四学生|Eight thousand nine hundred sixty-four students
卢跃刚公开信|Lu Yuegang open letter
tiananmencrackdown|
泪水在中国流淌|Tears flowed in China
鲜血染红了广场|Blood red square
民主了爆你菊花|Democracy burst you daisy
五毛共匪吊长街|Fifty Cent bandits hanging Strip
民主了杀你全家|Democracy kill you and your family
六四悲剧|Sixty-four tragedy
六四后遗症|Sixty-four sequelae
二六社论|26 editorial
六丝动乱|Six wire unrest
把酒流斯|Wine stream Adams
学潮的兴起|The rise of the student movement of
1989春天学潮|Spring 1989 student protests
北京风波大事记|Beijing storm Memorabilia
动荡的56天|56 days turbulence
八九年的反学朝|2089 anti-science towards
89年大学生暴乱|Students riot 89 years
中丆国政府|丆 national government
天亣安门事件|Tiananmen Square incident, assume day
六丶四学生爱国|Six Dian four students patriotic
学hexie潮|Learn hexie tide
甜安门事件|Sweet Tiananmen incident
1989年的六肆|1989 Six store
19eightnine年|19eightnine years
89年6月④日|④ Day on June 89
sixfour惨案|sixfour massacre
sixfour运动|sixfour sports
六罒运动|Six 罒 sports
sixfour云东|sixfour East Cloud
sixfour风波|sixfour storm
89学氵朝|89 Rui toward school
88年雪潮|88 snow tide
89中国学生的大事|89 Chinese student affairs
死于八乘八日|Died eight by 28
腐败的铲共党|Shovel communist corruption
茉莉花运动|Jasmine Movement
kongyizi|
炎黄春秋|Yanhuang Chunqiu
空凳的主人|Empty stool owner
无人坐的凳|No sitting stool
我的最后陈述|My final statement
大国沉沦|Big country sink
稀世之音|The rare sound
黑窑童奴案|Black kiln child slavery case
大地黯淡无语|Dim silent earth
瘦瘦削削的天|Thin thin cut of the day
细细长长的木|Long thin wood
暗红色的证书|Dark red certificate
缺席的方式|Absent way
遥远的寓言|Distant fable
孔子滑稽奖|Funny Confucius Prize
搜狗南京代理商|Sogou Nanjing Agents
团车网|Mission car network
胡承认变质|Hu acknowledged metamorphism
八九学运领袖|Leader of the student movement
李锐鲍彤六四|Li Rui Bao sixty-four
凌沧洲六四|Ling Cangzhou sixty-four
六四惨案鲍彤|Sixty-four massacre Bao Tong
陆肆事件天安门|Lusi Tiananmen incident
李月月鸟六四|Lee Bird sixty-four month
1989记忆的呼唤六四|1989 Memory Call sixty-four
20周年纪念白皮书|20th anniversary of the White Paper
把酒柳丝二十年|Stir the wine two years
把酒柳丝事件|Stir wine event
陈小雅六四研究|Xiaoya Chen sixty-four research
夫人华仲尉|Mrs. Hua Zhongwei
回家运动王丹|Home sports Wang Dan
勿忘陆肆|Do not forget Lusi
学者陈小雅六四|Scholars Xiaoya Chen sixty-four
彦永致函|Yan Yong wrote
于浩成六四事件|Yu Hao into the June incident
昝爱宗六四|Zan sixty-four
赵国君六四|Zhao Guojun sixty-four
中共血腥学生|CCP bloody student
子霖蒋培坤六四|Sub-Lin Jiang Peikun sixty-four
xianzhang2008xianzhang@inbox|
丁子霖天安门|Ding Zilin Tiananmen
蒋彦永关于为|Jiang Yanyong on for
丁子霖张先玲|Ding Zilin Zhang Xianling
鲍彤先生六四|Mr. Bao Tong Tiananmen
天安门文件六四|Tiananmen Papers sixty-four
要回家运动王丹|Wang Dan to go home campaign
8964反邓反腐败惨案|8964 Anti-Corruption Anti Deng massacre
喋血之八九|Bounty of eighty-nine
ailijianyilihamu|
六四军人张世军|Sixty-four soldier Zhang Shijun
天安門學潮|Tiananmen student protests
64天安門|64 Tiananmen
女神起锚|Goddess anchor
六四的烛光晚会|June Fourth candlelight vigil
维园六四晚会|Victoria Park sixty-four party
李鹏六四日记|The Critical Moment
六四杀戮事件|Sixty-four killings
天安门示威活动|Tiananmen protests
李鹏关键时刻|Li critical moment
六四日記手稿|Sixty-four manuscript diary
李鵬六四日記|The Critical Moment
悼念六四港人|June 4th memorial Hong Kong
64小时的绝食|64 hours of hunger strike
89年xue潮|89 years xue tide
89年北京制止动乱|89 Beijing to stop unrest
六和谐四事件|Six harmonious four events
打倒和谐共产党|Down with the Communist Party of harmony
89年西藏发生骚乱|1989 Tibet riots
记念六四烈士|Martyrs Memorial sixty-four
444444事件|444444 Event
不准提及六四|Not allowed to mention sixty-four
新民主女神像|New Goddess of Democracy
徐勤先抗命事件|Xu Qinxian disobedience event
大陆媒体被禁声|Mainland media hushed
世六说实话拾|Honestly pick six World
实话实说六四|Straight Talk sixty-four
六四儿童漫画|Children's cartoon sixty-four
64tian安门|64tian Yasukado
天an门风波|AN day storm door
64二十一周年|64 twenty-one anniversary
梁国雄|Leung Kwok-hung
六四薪火|Passing sixty-four
六四希拉蕊|Hilary sixty-four
祭拜木樨地|Worship alba
6four|
2的8次方|8 th 2
二的8次方|Two 8 th
12500386|
4-jun|
捌9年的6四|Eight nine six four-year
